step,loss,ppl,lr,time_sec,tag
1,5.452693,233.385714,0.0003,0.87,attn?-pe?-w?-?
50,5.064173,158.249536,0.0003,32.43,attn?-pe?-w?-?
100,4.607743,100.257619,0.0003,63.67,attn?-pe?-w?-?
150,4.190291,66.041995,0.0003,94.55,attn?-pe?-w?-?
200,3.823538,45.76585,0.0003,125.03,attn?-pe?-w?-?
250,3.233924,25.379053,0.0003,156.06,attn?-pe?-w?-?
300,2.110106,8.249119,0.0003,186.53,attn?-pe?-w?-?
350,1.156631,3.179205,0.0003,217.4,attn?-pe?-w?-?
400,0.676065,1.966127,0.0003,247.91,attn?-pe?-w?-?
